,Time,Vibration RMS Velocity,Temperature,Name,Datetime
574,26.7.2022 22:03:35,0.63,29.3,control valve,2022-07-26 22:03:35
575,26.7.2022 22:09:17,0.12,39.6,humidifier Condair,2022-07-26 22:09:17
580,26.7.2022 22:54:42,1.02,27.1,air fan,2022-07-26 22:54:42
578,26.7.2022 22:55:18,0.42,37.8,HVAC drive,2022-07-26 22:55:18
575,26.7.2022 23:00:46,0.66,28.8,control cabinet,2022-07-26 23:00:46
573,26.7.2022 23:03:42,0.53,29.2,control valve,2022-07-26 23:03:42
574,26.7.2022 23:09:42,0.16,38.1,humidifier Condair,2022-07-26 23:09:42
579,26.7.2022 23:54:49,0.84,27.1,air fan,2022-07-26 23:54:49
577,26.7.2022 23:55:32,0.46,37.8,HVAC drive,2022-07-26 23:55:32
574,27.7.2022 00:00:55,0.66,28.8,control cabinet,2022-07-27 00:00:55
572,27.7.2022 00:03:57,0.53,29.3,control valve,2022-07-27 00:03:57
573,27.7.2022 00:10:06,0.16,37.0,humidifier Condair,2022-07-27 00:10:06
578,27.7.2022 00:54:52,1.14,27.1,air fan,2022-07-27 00:54:52
576,27.7.2022 00:55:48,0.58,37.8,HVAC drive,2022-07-27 00:55:48
573,27.7.2022 01:01:04,0.66,28.8,control cabinet,2022-07-27 01:01:04
571,27.7.2022 01:04:07,0.48,29.2,control valve,2022-07-27 01:04:07
572,27.7.2022 01:10:30,0.16,36.0,humidifier Condair,2022-07-27 01:10:30
577,27.7.2022 01:54:56,0.88,27.1,air fan,2022-07-27 01:54:56
575,27.7.2022 01:56:02,0.51,37.8,HVAC drive,2022-07-27 01:56:02
572,27.7.2022 02:01:15,0.69,28.8,control cabinet,2022-07-27 02:01:15
570,27.7.2022 02:04:17,0.59,29.3,control valve,2022-07-27 02:04:17
571,27.7.2022 02:10:57,0.16,35.3,humidifier Condair,2022-07-27 02:10:57
576,27.7.2022 02:54:57,0.88,27.1,air fan,2022-07-27 02:54:57
574,27.7.2022 02:56:17,0.58,37.8,HVAC drive,2022-07-27 02:56:17
571,27.7.2022 03:01:32,0.69,28.8,control cabinet,2022-07-27 03:01:32
569,27.7.2022 03:04:25,0.59,29.3,control valve,2022-07-27 03:04:25
570,27.7.2022 03:11:22,0.12,34.6,humidifier Condair,2022-07-27 03:11:22
575,27.7.2022 03:55:09,0.85,27.2,air fan,2022-07-27 03:55:09
573,27.7.2022 03:56:32,0.61,37.8,HVAC drive,2022-07-27 03:56:32
570,27.7.2022 04:01:45,0.73,28.7,control cabinet,2022-07-27 04:01:45
568,27.7.2022 04:04:38,0.74,29.3,control valve,2022-07-27 04:04:38
569,27.7.2022 04:11:45,0.16,34.0,humidifier Condair,2022-07-27 04:11:45
574,27.7.2022 04:55:12,0.84,27.0,air fan,2022-07-27 04:55:12
572,27.7.2022 04:56:46,0.49,37.6,HVAC drive,2022-07-27 04:56:46
569,27.7.2022 05:01:58,0.81,28.7,control cabinet,2022-07-27 05:01:58
567,27.7.2022 05:04:45,0.69,28.7,control valve,2022-07-27 05:04:45
568,27.7.2022 05:12:07,0.12,33.1,humidifier Condair,2022-07-27 05:12:07
573,27.7.2022 05:55:12,0.99,26.8,air fan,2022-07-27 05:55:12
571,27.7.2022 05:57:04,0.57,37.3,HVAC drive,2022-07-27 05:57:04
566,27.7.2022 06:04:49,0.61,28.4,control valve,2022-07-27 06:04:49
567,27.7.2022 06:12:26,0.16,32.6,humidifier Condair,2022-07-27 06:12:26
572,27.7.2022 06:55:10,0.91,26.7,air fan,2022-07-27 06:55:10
570,27.7.2022 06:57:15,0.52,37.2,HVAC drive,2022-07-27 06:57:15
568,27.7.2022 07:02:29,0.84,28.7,control cabinet,2022-07-27 07:02:29
565,27.7.2022 07:04:52,0.66,28.3,control valve,2022-07-27 07:04:52
566,27.7.2022 07:12:45,0.16,32.2,humidifier Condair,2022-07-27 07:12:45
571,27.7.2022 07:55:16,0.77,26.9,air fan,2022-07-27 07:55:16
569,27.7.2022 07:57:30,0.55,37.4,HVAC drive,2022-07-27 07:57:30
567,27.7.2022 08:02:38,0.8,28.7,control cabinet,2022-07-27 08:02:38
564,27.7.2022 08:04:58,0.52,28.8,control valve,2022-07-27 08:04:58
565,27.7.2022 08:13:08,0.12,32.3,humidifier Condair,2022-07-27 08:13:08
570,27.7.2022 08:55:21,0.84,26.9,air fan,2022-07-27 08:55:21
568,27.7.2022 08:57:45,0.58,37.5,HVAC drive,2022-07-27 08:57:45
566,27.7.2022 09:02:52,0.8,28.7,control cabinet,2022-07-27 09:02:52
563,27.7.2022 09:05:06,0.73,28.8,control valve,2022-07-27 09:05:06
564,27.7.2022 09:13:38,0.16,31.8,humidifier Condair,2022-07-27 09:13:38
569,27.7.2022 09:55:27,0.84,26.8,air fan,2022-07-27 09:55:27
567,27.7.2022 09:58:01,0.57,37.5,HVAC drive,2022-07-27 09:58:01
565,27.7.2022 10:03:04,0.8,28.7,control cabinet,2022-07-27 10:03:04
562,27.7.2022 10:05:21,0.51,28.7,control valve,2022-07-27 10:05:21
563,27.7.2022 10:14:05,0.16,36.5,humidifier Condair,2022-07-27 10:14:05
568,27.7.2022 10:55:31,0.84,26.6,air fan,2022-07-27 10:55:31
566,27.7.2022 10:58:15,0.5,37.2,HVAC drive,2022-07-27 10:58:15
564,27.7.2022 11:03:13,0.8,28.6,control cabinet,2022-07-27 11:03:13
561,27.7.2022 11:05:31,0.51,28.4,control valve,2022-07-27 11:05:31
562,27.7.2022 11:14:28,0.16,35.7,humidifier Condair,2022-07-27 11:14:28
567,27.7.2022 11:55:30,0.8,26.5,air fan,2022-07-27 11:55:30
565,27.7.2022 11:58:25,0.49,37.1,HVAC drive,2022-07-27 11:58:25
563,27.7.2022 12:03:20,0.8,28.7,control cabinet,2022-07-27 12:03:20
560,27.7.2022 12:05:40,0.51,28.3,control valve,2022-07-27 12:05:40
561,27.7.2022 12:14:53,0.16,34.8,humidifier Condair,2022-07-27 12:14:53
566,27.7.2022 12:55:29,0.84,26.4,air fan,2022-07-27 12:55:29
564,27.7.2022 12:58:33,0.54,37.1,HVAC drive,2022-07-27 12:58:33
562,27.7.2022 13:03:27,0.76,28.7,control cabinet,2022-07-27 13:03:27
559,27.7.2022 13:05:43,0.5,28.4,control valve,2022-07-27 13:05:43
560,27.7.2022 13:15:15,0.12,34.1,humidifier Condair,2022-07-27 13:15:15
565,27.7.2022 13:55:27,0.66,26.4,air fan,2022-07-27 13:55:27
563,27.7.2022 13:58:44,0.6,37.2,HVAC drive,2022-07-27 13:58:44
561,27.7.2022 14:03:32,0.8,28.7,control cabinet,2022-07-27 14:03:32
558,27.7.2022 14:05:48,0.48,29.0,control valve,2022-07-27 14:05:48
559,27.7.2022 14:15:46,0.16,49.7,humidifier Condair,2022-07-27 14:15:46
564,27.7.2022 14:55:31,0.8,26.6,air fan,2022-07-27 14:55:31
562,27.7.2022 14:58:54,0.47,37.5,HVAC drive,2022-07-27 14:58:54
560,27.7.2022 15:03:58,0.8,28.7,control cabinet,2022-07-27 15:03:58
557,27.7.2022 15:05:55,0.48,29.8,control valve,2022-07-27 15:05:55
558,27.7.2022 15:16:33,0.18,51.0,humidifier Condair,2022-07-27 15:16:33
563,27.7.2022 15:55:34,1.06,27.0,air fan,2022-07-27 15:55:34
561,27.7.2022 15:59:08,0.43,37.7,HVAC drive,2022-07-27 15:59:08
559,27.7.2022 16:04:36,0.77,28.8,control cabinet,2022-07-27 16:04:36
556,27.7.2022 16:06:03,0.43,30.4,control valve,2022-07-27 16:06:03
562,27.7.2022 16:55:44,0.84,27.2,air fan,2022-07-27 16:55:44
560,27.7.2022 16:59:20,0.45,37.9,HVAC drive,2022-07-27 16:59:20
558,27.7.2022 17:04:57,0.8,28.8,control cabinet,2022-07-27 17:04:57
555,27.7.2022 17:06:16,0.67,30.7,control valve,2022-07-27 17:06:16
557,27.7.2022 17:17:44,0.85,51.8,humidifier Condair,2022-07-27 17:17:44
561,27.7.2022 17:56:02,1.02,27.2,air fan,2022-07-27 17:56:02
559,27.7.2022 17:59:30,0.54,38.0,HVAC drive,2022-07-27 17:59:30
557,27.7.2022 18:05:04,0.81,28.8,control cabinet,2022-07-27 18:05:04
